`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+0142`,203,214,`LATIN SMALL LETTER L WITH STROKE`,`l stoke`,`ł`,`L`,`U+004C`
`U+0143`,221,229,`LATIN CAPITAL LETTER N WITH ACUTE`,`N accute`,`Ń`,`N`,`U+004E`
`U+0144`,221,230,`LATIN SMALL LETTER N WITH ACUTE`,`n accute`,`ń`,`N`,`U+004E`
`U+0147`,221,231,`LATIN CAPITAL LETTER N WITH CARON`,`N caron`,`Ň`,`N`,`U+004E`
`U+0148`,221,232,`LATIN SMALL LETTER N WITH CARON`,`n caron`,`ň`,`N`,`U+004E`
`U+014c`,234,253,`LATIN CAPITAL LETTER O WITH MACRON`,`O macron`,`Ō`,`O`,`U+004F`
`U+014d`,234,254,`LATIN SMALL LETTER O WITH MACRON`,`o macron`,`ō`,`O`,`U+004F`
`U+014e`,234,255,`LATIN CAPITAL LETTER O WITH BREVE`,`O breve`,`Ŏ`,`O`,`U+004F`
`U+014f`,234,256,`LATIN SMALL LETTER O WITH BREVE`,`o breve`,`ŏ`,`O`,`U+004F`
`U+0152`,234,257,`LATIN CAPITAL LIGATURE OE`,`OE`,`Œ`,`O`,`U+004F`
`U+0153`,234,258,`LATIN SMALL LIGATURE OE`,`oe`,`œ`,`O`,`U+004F`
`U+0154`,272,278,`LATIN CAPITAL LETTER R WITH ACUTE`,`R accute`,`Ŕ`,`R`,`U+0052`
`U+0155`,272,279,`LATIN SMALL LETTER R WITH ACUTE`,`r accute`,`ŕ`,`R`,`U+0052`
`U+0158`,272,280,`LATIN CAPITAL LETTER R WITH CARON`,`R caron`,`Ř`,`R`,`U+0052`
`U+0159`,272,281,`LATIN SMALL LETTER R WITH CARON`,`r caron`,`ř`,`R`,`U+0052`
`U+015a`,283,289,`LATIN CAPITAL LETTER S WITH ACUTE`,`S accute`,`Ś`,`S`,`U+0053`
`U+015b`,283,290,`LATIN SMALL LETTER S WITH ACUTE`,`s accute`,`ś`,`S`,`U+0053`
`U+015e`,283,291,`LATIN CAPITAL LETTER S WITH CEDILLA`,`S cedilla`,`Ş`,`S`,`U+0053`
`U+015f`,283,292,`LATIN SMALL LETTER S WITH CEDILLA`,`s cedilla`,`ş`,`S`,`U+0053`
`U+0160`,283,293,`LATIN CAPITAL LETTER S WITH CARON`,`S caron`,`Š`,`S`,`U+0053`
`U+0161`,283,294,`LATIN SMALL LETTER S WITH CARON`,`s caron`,`š`,`S`,`U+0053`
`U+0162`,296,303,`LATIN CAPITAL LETTER T WITH CEDILLA`,`T cedilla`,`Ţ`,`T`,`U+0054`
`U+0163`,296,304,`LATIN SMALL LETTER T WITH CEDILLA`,`t cedilla`,`ţ`,`T`,`U+0054`
